rank,subset_tags,title,year,venue,authors,doi,url,openalex_id,cited_by_count,query_hits,first_query,relevance_score,concepts,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,abstract_snippet
1,landscape_1000|serious_skim_300|deep_read_225|hostile_prior_100,Continuous Optimization-Based Task and Motion Planning with Signal Temporal Logic Specifications for Sequential Manipulation,2021,,Rin Takano; Hiroyuki Oyama; Masaki Yamakita,https://doi.org/10.1109/icra48506.2021.9561209,https://openalex.org/W3205467518,https://openalex.org/W3205467518,20,3,task and motion planning constraints,84.6445,Task (project management); Computer science; Trajectory; Nonlinear programming; Temporal logic; Motion planning; Nonlinear system; Linear temporal logic; SIGNAL (programming language); Plan (archaeology); Motion (physics); Optimization problem,Bridge symbolic task choices and continuous geometric feasibility in robot planning.,"Hierarchical search interleaving symbolic planning, geometric sampling, and feasibility checks.",feasibility queries are cheap enough to call inside search; continuous constraints can be evaluated locally at sampled states; task constraints are specified before execution,object affordances/contact modes; workspace geometry and robot model; symbolic operator schema,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,interleaving planning with geometric feasibility reasoning; constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution; reducing expensive feasibility calls by discovering instance-level constraints,"We propose a new optimization-based task and motion planning (TAMP) with signal temporal logic (STL) specifications for robotic sequential manipulation such as pick-and-place tasks. Given a high-level task specification, the TAMP problem is to plan a trajectory that satisfies the specification. This is, however, a challenging problem due to the difficulty of combining continuous motion planning and discrete task specifications. The optimization-based TAMP with temporal logic specifications is a promising method, but existing works use mixed integer problems (MIP) and do not scale well. To address this issue, in our approach, a new hybrid system model without discrete variables is introduced and combined with smooth approximation methods for STL. This allows the TAMP to be formulated as a nonlinear programming problem whose computational c"
2,landscape_1000|serious_skim_300|deep_read_225|hostile_prior_100,R-LGP: A Reachability-guided Logic-geometric Programming Framework for Optimal Task and Motion Planning on Mobile Manipulators,2024,,Kim Tien Ly; Valeriy Semenov; Mattia Risiglione; Wolfgang Merkt; Ioannis Havoutis,https://doi.org/10.1109/icra57147.2024.10611389,https://openalex.org/W4401414279,https://openalex.org/W4401414279,5,2,geometric constraints task motion planning,84.0918,Reachability; Motion planning; Computer science; Task (project management); Motion (physics); Mobile robot; Artificial intelligence; Mathematical optimization; Theoretical computer science; Robot; Mathematics; Engineering,Bridge symbolic task choices and continuous geometric feasibility in robot planning.,"Hierarchical search interleaving symbolic planning, geometric sampling, and feasibility checks.",feasibility queries are cheap enough to call inside search; continuous constraints can be evaluated locally at sampled states; invalid plans can be repaired with tolerable execution/search cost,object affordances/contact modes; workspace geometry and robot model; symbolic operator schema,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,interleaving planning with geometric feasibility reasoning; reactive repair once invalidity is observed; constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution; reducing expensive feasibility calls by discovering instance-level constraints,"This paper presents an optimization-based solution to task and motion planning (TAMP) on mobile manipulators. Logic-geometric programming (LGP) has shown promising capabilities for optimally dealing with hybrid TAMP problems that involve abstract and geometric constraints. However, LGP does not scale well to high-dimensional systems (e.g. mobile manipulators) and can suffer from obstacle avoidance issues due to local minima. In this work, we extend LGP with a sampling-based reachability graph to enable solving optimal TAMP on high-DoF mobile manipulators. The proposed reachability graph can incorporate environmental information (obstacles) to provide the planner with sufficient geometric constraints. This reachability-aware heuristic efficiently prunes infeasible sequences of actions in the continuous domain, hence, it reduces replanning "
3,landscape_1000|serious_skim_300|deep_read_225|hostile_prior_100,Planning Robotic Manipulation with Tight Environment Constraints,2021,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),George Jose Pollayil; Giorgio Grioli; Manuel Bonilla; Antonio Bicchi,https://doi.org/10.1109/iros51168.2021.9636782,https://openalex.org/W4200010608,https://openalex.org/W4200010608,8,3,robot planning constraints,82.8972,GRASP; Computer science; Merge (version control); Robot; Exploit; Object (grammar); Motion planning; Grippers; Artificial intelligence; Engineering; Programming language; Information retrieval,"Find feasible robot motions under collision, kinematic, dynamic, or environment constraints.","Planning architecture, learned model, or constraint formalism for robot decision making.",feasibility queries are cheap enough to call inside search; continuous constraints can be evaluated locally at sampled states,object affordances/contact modes; workspace geometry and robot model,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution,"In many real-world manipulation problems, the constraints imposed by the environment on an object are tight. In these cases, most state-of-the-art planners struggle to fit satisfactorily in low dimensional sub-manifolds, while still ensuring geometric and force feasibility. On the other hand, humans are at ease with such situations and indeed exploit constraints to manipulate objects proficiently.To face this challenge, we propose to merge state-of-art randomized grasp planning methods with model-based grasp analysis. We use the partial form-closure analysis framework to find the geometrically feasible motions of the object. Then, to ensure that the desired motions are physically realizable by the robot, we resort to an extension of the force-closure analysis framework accounting also for dynamic friction. We use these instruments to cons"
4,landscape_1000|serious_skim_300|deep_read_225|hostile_prior_100,Learning compositional models of robot skills for task and motion planning,2021,The International Journal of Robotics Research,Zi Wang; Caelan Reed Garrett; Leslie Pack Kaelbling; Tomás Lozano‐Pérez,https://doi.org/10.1177/02783649211004615,https://openalex.org/W3150384095,https://openalex.org/W3150384095,82,8,task and motion planning constraints,80.5188,Computer science; Variety (cybernetics); Artificial intelligence; Task (project management); Robot; Plan (archaeology); Robotics; Machine learning; Motion planning; Motion (physics); Human–computer interaction; Time horizon,Bridge symbolic task choices and continuous geometric feasibility in robot planning.,"Hierarchical search interleaving symbolic planning, geometric sampling, and feasibility checks.",feasibility queries are cheap enough to call inside search; training distribution covers deployment constraint activations; continuous constraints can be evaluated locally at sampled states,object affordances/contact modes; workspace geometry and robot model; symbolic operator schema,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,learning constraints/feasibility models for planning; interleaving planning with geometric feasibility reasoning; constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution; separating constraint-family discovery from edge-by-edge verification,"The objective of this work is to augment the basic abilities of a robot by learning to use sensorimotor primitives to solve complex long-horizon manipulation problems. This requires flexible generative planning that can combine primitive abilities in novel combinations and, thus, generalize across a wide variety of problems. In order to plan with primitive actions, we must have models of the actions: under what circumstances will executing this primitive successfully achieve some particular effect in the world? We use, and develop novel improvements to, state-of-the-art methods for active learning and sampling. We use Gaussian process methods for learning the constraints on skill effectiveness from small numbers of expensive-to-collect training examples. In addition, we develop efficient adaptive sampling methods for generating a comprehe"
5,landscape_1000|serious_skim_300|deep_read_225|hostile_prior_100,Combining high-level causal reasoning with low-level geometric reasoning and motion planning for robotic manipulation,2011,,Esra Erdem; Kadir Haspalamutgil; Can Palaz; Volkan Patoğlu; Tansel Uras,https://doi.org/10.1109/icra.2011.5980160,https://openalex.org/W2143602574,https://openalex.org/W2143602574,126,6,robot planning constraints,79.2442,Semantic reasoner; Computer science; Causal reasoning; Motion planning; Artificial intelligence; Kinematics; Knowledge representation and reasoning; Theoretical computer science; Robot; Biology; Physics; Neuroscience,Bridge symbolic task choices and continuous geometric feasibility in robot planning.,"Hierarchical search interleaving symbolic planning, geometric sampling, and feasibility checks.",feasibility queries are cheap enough to call inside search; continuous constraints can be evaluated locally at sampled states,object affordances/contact modes; workspace geometry and robot model; symbolic operator schema,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,interleaving planning with geometric feasibility reasoning; constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution; reducing expensive feasibility calls by discovering instance-level constraints,"We present a formal framework that combines high-level representation and causality-based reasoning with low-level geometric reasoning and motion planning. The frame-work features bilateral interaction between task and motion planning, and embeds geometric reasoning in causal reasoning, thanks to several advantages inherited from its underlying components. In particular, our choice of using a causality-based high-level formalism for describing action domains allows us to represent ramifications and state/transition constraints, and embed in such formal domain descriptions externally defined functions implemented in some programming language (e.g., C++). Moreover, given such a domain description, the causal reasoner based on this formalism (i.e., the Causal Calculator) allows us to compute optimal solutions (e.g., shortest plans) for elabo"
6,landscape_1000|serious_skim_300|deep_read_225|hostile_prior_100,Long-Horizon Multi-Robot Rearrangement Planning for Construction Assembly,2022,IEEE Transactions on Robotics,Valentin N. Hartmann; Andreas Orthey; Danny Driess; Ozgur S. Oguz; Marc Toussaint,https://doi.org/10.1109/tro.2022.3198020,https://openalex.org/W3169676024,https://openalex.org/W3169676024,87,4,robot planning constraints,76.9773,Motion planning; Scalability; Computer science; Robustness (evolution); Robot; Planner; Solver; Time horizon; Task (project management); Plan (archaeology); Mathematical optimization; Artificial intelligence,Bridge symbolic task choices and continuous geometric feasibility in robot planning.,"Hierarchical search interleaving symbolic planning, geometric sampling, and feasibility checks.",feasibility queries are cheap enough to call inside search; continuous constraints can be evaluated locally at sampled states,object affordances/contact modes; workspace geometry and robot model; symbolic operator schema,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,interleaving planning with geometric feasibility reasoning; constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution; reducing expensive feasibility calls by discovering instance-level constraints,"Robotic construction assembly planning aims to find feasible assembly sequences as well as the corresponding robot-paths and can be seen as a special case of task and motion planning (TAMP). As construction assembly can well be parallelized, it is desirable to plan for multiple robots acting concurrently. Solving TAMP instances with many robots and over a long time-horizon is challenging due to coordination constraints, and the difficulty of choosing the right task assignment. We present a planning system which enables parallelization of complex task and motion planning problems by iteratively solving smaller subproblems. Combining optimization methods to jointly solve for manipulation constraints with a sampling-based bi-directional space-time path planner enables us to plan cooperative multi-robot manipulation with unknown arrival-times"
7,landscape_1000|serious_skim_300|deep_read_225|hostile_prior_100,Combined Task and Motion Planning as Classical AI Planning,2017,arXiv (Cornell University),Jonathan Ferrer‐Mestres; Guillem Francès; Héctor Geffner,https://doi.org/10.48550/arxiv.1706.06927,https://openalex.org/W2656928880,https://openalex.org/W2656928880,21,3,task and motion planning constraints,76.091,Task (project management); Motion (physics); Motion planning; Computer science; Artificial intelligence; Computer vision; Engineering; Systems engineering; Robot,Bridge symbolic task choices and continuous geometric feasibility in robot planning.,"Hierarchical search interleaving symbolic planning, geometric sampling, and feasibility checks.",feasibility queries are cheap enough to call inside search; continuous constraints can be evaluated locally at sampled states,workspace geometry and robot model; symbolic operator schema,late discovery of a binding constraint after many invalid branches; constraint activations shifting across task instances,interleaving planning with geometric feasibility reasoning; constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution; reducing expensive feasibility calls by discovering instance-level constraints,"Planning in robotics is often split into task and motion planning. The high-level, symbolic task planner decides what needs to be done, while the motion planner checks feasibility and fills up geometric detail. It is known however that such a decomposition is not effective in general as the symbolic and geometrical components are not independent. In this work, we show that it is possible to compile task and motion planning problems into classical AI planning problems; i.e., planning problems over finite and discrete state spaces with a known initial state, deterministic actions, and goal states to be reached. The compilation is sound, meaning that classical plans are valid robot plans, and probabilistically complete, meaning that valid robot plans are classical plans when a sufficient number of configurations is sampled. In this approach,"
8,landscape_1000|serious_skim_300|deep_read_225|hostile_prior_100,Learning Geometric Constraints in Task and Motion Planning,2022,arXiv (Cornell University),Tianyu Ren; Alexander I. Cowen-Rivers; Haitham Bou Ammar; Jan Peters,https://doi.org/10.48550/arxiv.2201.09612,https://openalex.org/W4221153129,https://openalex.org/W4221153129,1,3,task and motion planning constraints,75.7931,Computer science; Backtracking; Task (project management); Workspace; Subspace topology; Constraint (computer-aided design); Object (grammar); Solver; Mathematical optimization; Theoretical computer science; Robot; Artificial intelligence,Bridge symbolic task choices and continuous geometric feasibility in robot planning.,"Hierarchical search interleaving symbolic planning, geometric sampling, and feasibility checks.",feasibility queries are cheap enough to call inside search; training distribution covers deployment constraint activations; continuous constraints can be evaluated locally at sampled states,workspace geometry and robot model; symbolic operator schema; feature space and training labels,late discovery of a binding constraint after many invalid branches; ambiguous observations that hide which constraint family is active; constraint activations shifting across task instances,learning constraints/feasibility models for planning; interleaving planning with geometric feasibility reasoning; constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution; separating constraint-family discovery from edge-by-edge verification,"Searching for bindings of geometric parameters in task and motion planning (TAMP) is a finite-horizon stochastic planning problem with high-dimensional decision spaces. A robot manipulator can only move in a subspace of its whole range that is subjected to many geometric constraints. A TAMP solver usually takes many explorations before finding a feasible binding set for each task. It is favorable to learn those constraints once and then transfer them over different tasks within the same workspace. We address this problem by representing constraint knowledge with transferable primitives and using Bayesian optimization (BO) based on these primitives to guide binding search in further tasks. Via semantic and geometric backtracking in TAMP, we construct constraint primitives to encode the geometric constraints respectively in a reusable form."
9,landscape_1000|serious_skim_300|deep_read_225|hostile_prior_100,FFRob: Leveraging symbolic planning for efficient task and motion planning,2017,The International Journal of Robotics Research,Caelan Reed Garrett; Tomás Lozano‐Pérez; Leslie Pack Kaelbling,https://doi.org/10.1177/0278364917739114,https://openalex.org/W2490090381,https://openalex.org/W2490090381,136,3,task and motion planning constraints,74.92,Task (project management); Motion planning; Computer science; Motion (physics); Human–computer interaction; Artificial intelligence; Robot; Engineering; Systems engineering,Bridge symbolic task choices and continuous geometric feasibility in robot planning.,"Hierarchical search interleaving symbolic planning, geometric sampling, and feasibility checks.",feasibility queries are cheap enough to call inside search; continuous constraints can be evaluated locally at sampled states,object affordances/contact modes; workspace geometry and robot model; symbolic operator schema,late discovery of a binding constraint after many invalid branches; constraint activations shifting across task instances; mode switches caused by contact and support changes,interleaving planning with geometric feasibility reasoning; constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution; reducing expensive feasibility calls by discovering instance-level constraints,"Mobile manipulation problems involving many objects are challenging to solve due to the high dimensionality and multi-modality of their hybrid configuration spaces. Planners that perform a purely geometric search are prohibitively slow for solving these problems because they are unable to factor the configuration space. Symbolic task planners can efficiently construct plans involving many variables but cannot represent the geometric and kinematic constraints required in manipulation. We present the FFRob algorithm for solving task and motion planning problems. First, we introduce extended action specification (EAS) as a general purpose planning representation that supports arbitrary predicates as conditions. We adapt existing heuristic search ideas for solving strips planning problems, particularly delete-relaxations, to solve EAS problem"
10,landscape_1000|serious_skim_300|deep_read_225|hostile_prior_100,COAST: COnstraints And STreams for Task and Motion Planning,2024,,Brandon Vu; Toki Migimatsu; Jeannette Bohg,https://doi.org/10.1109/icra57147.2024.10611670,https://openalex.org/W4401416860,https://openalex.org/W4401416860,2,2,task and motion planning constraints,74.2986,Computer science; STREAMS; Task (project management); Motion (physics); Motion planning; Artificial intelligence; Systems engineering; Computer network; Engineering; Robot,Bridge symbolic task choices and continuous geometric feasibility in robot planning.,"Hierarchical search interleaving symbolic planning, geometric sampling, and feasibility checks.",feasibility queries are cheap enough to call inside search; continuous constraints can be evaluated locally at sampled states,workspace geometry and robot model; symbolic operator schema,late discovery of a binding constraint after many invalid branches; constraint activations shifting across task instances,interleaving planning with geometric feasibility reasoning; constrained motion planning machinery,making the binding constraint set a pre-planning object; avoiding families of invalid plans before a first failed execution; reducing expensive feasibility calls by discovering instance-level constraints,"Task and Motion Planning (TAMP) algorithms solve long-horizon robotics tasks by integrating task planning with motion planning; the task planner proposes a sequence of actions towards a goal state and the motion planner verifies whether this action sequence is geometrically feasible for the robot. However, state-of-the-art TAMP algorithms do not scale well with the difficulty of the task and require an impractical amount of time to solve relatively small problems. We propose Constraints and Streams for Task and Motion Planning (COAST), a probabilistically-complete, sampling-based TAMP algorithm that combines stream-based motion planning with an efficient, constrained task planning strategy. We validate COAST on three challenging TAMP domains and demonstrate that our method outperforms baselines in terms of cumulative task planning time by"
